Instituição,Sigla,Estado,Região,Categoria administrativa,Quantidade de dissertações na base
Universidade Estadual do Oeste do Paraná,UNIOESTE,PR,Sul,Estadual,14
Universidade Federal do Paraná,UFPR,PR,Sul,Federal,92
Universidade Tecnológica Federal do Paraná,UTFPR,PR,Sul,Federal,189
Instituto Federal do Rio Grande do Sul,IFRS,RS,Sul,Federal,8
Universidade Federal de Santa Maria,UFSM,RS,Sul,Federal,77
Universidade Federal do Pampa,UNIPAMPA,RS,Sul,Federal,4
Universidade Federal do Rio Grande,FURG,RS,Sul,Federal,46
Universidade Federal da Fronteira Sul,UFFS,SC,Sul,Federal,52
Universidade Federal de Santa Catarina,UFSC,SC,Sul,Federal,107
Universidade do Estado de Santa Catarina,UDESC,SC,Sul,Estadual,27
